,小区名称,百度经度,百度纬度
43,恒大曹家巷广场,104.09733802807553,30.67911645045435
44,华侨城原岸,104.04996157514039,30.73362472333543
45,华侨城纯水岸一期,104.03469496282887,30.72329584663474
46,青房尚瑞天韵,104.00934028980973,30.706790466640694
47,金沙御苑,104.02063459515614,30.693158991836178
48,曹家巷恒大雅苑,104.09413934181559,30.680658976142567
49,保利天和,104.09796899786573,30.777572880711062
50,保利两河森林别墅,103.97643185558776,30.724758031265644
51,文华路14号院,104.04152927114878,30.680425882897413
52,西城公馆,104.03481300017287,30.702389900881233
53,华侨城纯水岸二期,104.03396994045177,30.720210284163198
54,旭辉江山和鸣,104.05740358713781,30.697356042874134
55,泉水南苑,104.06968602854518,30.727793855495
56,映日荷花,104.0679096293992,30.719833701493904
57,和谐家园,104.01552045205729,30.706561318367196
58,金地嘉年华城,104.01480100546249,30.702326957091405
59,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
60,远洋朗郡,103.98645101626275,30.72134421435084
61,恒大西锦城,104.01731643426338,30.714818304524716
62,远洋朗郡,103.98645101626275,30.72134421435084
63,百寿路7号院,104.04547741369568,30.677690294755
64,华侨城原岸,104.04996157514039,30.73362472333543
65,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
66,中南樾府,104.09775996217357,30.79602282702288
67,高家庄赞城,104.05740358713781,30.697356042874134
68,工人村,104.09088298434193,30.681496849267635
69,正成拉斐,104.00487598091681,30.724537152794277
70,荣光巷2号院,104.0416120949168,30.681559198350396
71,华侨城东岸,104.05005993959374,30.733616963050707
72,金地嘉年华城,104.01480100546249,30.702326957091405
73,华宇锦城名都,104.04796059961691,30.70746416869566
74,远洋朗郡,103.98645101626275,30.72134421435084
75,春语花间,104.05740358713781,30.697356042874134
76,阳曦芙蓉城,104.02292401657887,30.704715226415807
77,瑞安城中汇,104.09805469621138,30.698848590337068
78,恒大曹家巷广场,104.09733802807553,30.67911645045435
79,蓝光富丽城,104.0892465411944,30.701289048511192
80,御都花园别墅,104.01847982972934,30.700182128313674
81,泉水人家三期A区,104.06808596677081,30.73773145506147
82,德意馨苑,104.0158459979741,30.701653206072645
83,万科锦西润园,104.00130476736189,30.71503183177756
84,和谐家园,104.01552045205729,30.706561318367196
85,瑞安城中汇,104.09805469621138,30.698848590337068
86,水晶花园,104.08370246907847,30.682834045711424
87,金沙御苑,104.02063459515614,30.693158991836178
88,旭辉江山和鸣,104.05740358713781,30.697356042874134
89,华侨城天鹅堡,104.03539914451814,30.725155238699283
90,百佳庭院,104.08648020937643,30.690070359407404
91,香山苑,104.09396839427706,30.69670998446406
92,华侨城原岸,104.04996157514039,30.73362472333543
93,青房尚瑞天韵,104.00934028980973,30.706790466640694
94,卓越云际,104.05740358713781,30.697356042874134
95,四季香榭,104.04824572178578,30.71393089225442
96,恒大曹家巷广场,104.09733802807553,30.67911645045435
97,泰基花语廊,104.01663066783706,30.70451246618153
98,碧桂园城市花园,104.10254101358932,30.772605045304726
99,金都花园,104.01938100981697,30.697944105942128
100,星辉西路8号院,104.08251697529694,30.684953862065715
101,恒大曹家巷广场,104.09733802807553,30.67911645045435
102,尚锦城,104.08931759716025,30.695376242758922
103,檀香花园,104.01521080614799,30.70996914360457
104,卓越云际,104.05740358713781,30.697356042874134
105,金牛花园,103.99811488449595,30.71575709126217
106,白鸽岛尚,104.00222166779592,30.713962017411085
107,恒大曹家巷广场公寓,104.04517468473883,30.701570919471557
108,首开龙湖紫宸,104.03919295817843,30.70579189778465
109,恒大曹家巷广场,104.09733802807553,30.67911645045435
110,恒大曹家巷广场,104.09733802807553,30.67911645045435
111,华侨城天鹅堡,104.03539914451814,30.725155238699283
112,中南樾府,104.09775996217357,30.79602282702288
113,金泉阳光雅新苑,104.00276397483229,30.710625901742834
114,金科苑中街103号院,103.99268834218142,30.715790426055097
115,华侨城东岸,104.05005993959374,30.733616963050707
116,协和花苑,104.06255402177926,30.7103687412228
117,东原亲亲里,104.01047170559956,30.727194723049468
118,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
119,华侨城纯水岸二期,104.03396994045177,30.720210284163198
120,营康西路29号院,104.03953170918625,30.69456543049595
121,欣园,104.08504956802122,30.69631032970628
122,蓝光花满庭一期,104.0667532407162,30.729358101181184
123,中环西岸观邸,104.0182137516373,30.713031363081903
124,白鸽岛尚,104.00222166779592,30.713962017411085
125,红帆风林假日,104.00996685790294,30.711757694762685
126,中环西岸观邸,104.0182137516373,30.713031363081903
127,华侨城纯水岸一期,104.03469496282887,30.72329584663474
128,中加水岸,104.05055445677696,30.72565124120615
129,旭辉江山和鸣,104.05740358713781,30.697356042874134
130,迪康银色诗典,104.0838668589868,30.68999768998162
131,新桥逸景C区,104.0527080544066,30.72026864968715
132,金地嘉年华城,104.01480100546249,30.702326957091405
133,保利梧桐语,103.99766600123262,30.711210079692872
134,华侨城纯水岸208区,104.03265500084625,30.72227688317816
135,旭辉江山和鸣,104.05740358713781,30.697356042874134
136,金房星座,104.04770610966594,30.701868858734322
137,翡翠海湾,104.01328474930406,30.709305394914598
138,瑞安城中汇,104.09805469621138,30.698848590337068
139,飞大壹号广场,104.08840096621785,30.687229533773646
140,一品荷花,104.08716705376935,30.702469935559943
141,白鸽岛尚,104.00222166779592,30.713962017411085
142,恒业星园,104.06918719949549,30.712246470578823
143,恒大曹家巷广场,104.09733802807553,30.67911645045435
144,金地嘉年华城,104.01480100546249,30.702326957091405
145,华侨城纯水岸三期,104.03362292503326,30.725361137095557
146,水映兰庭,104.13540426304415,30.759507116895033
147,恒大曹家巷广场,104.09733802807553,30.67911645045435
148,澳林春天,104.04327000756601,30.695983182939717
149,中环西岸观邸,104.0182137516373,30.713031363081903
150,炎华置信花千集,104.07305700980191,30.69215585521525
151,营通街181号院,104.04373730609231,30.69130052949679
152,荣光巷2号院,104.0416120949168,30.681559198350396
153,华侨城纯水岸三期,104.03362292503326,30.725361137095557
154,金都花园,104.01938100981697,30.697944105942128
155,电建地产洺悦玺,103.9871550182909,30.734744836212062
156,工人村,104.09088298434193,30.681496849267635
157,华侨城纯水岸二期,104.03396994045177,30.720210284163198
158,旭辉江山和鸣,104.05740358713781,30.697356042874134
159,千和馨城,104.02102419025582,30.697426533001124
160,远洋朗郡,103.98645101626275,30.72134421435084
161,金沙国际花园,104.01587959460018,30.693468990830727
162,碧园公寓,104.05773542119319,30.68458785508327
163,正成拉斐,104.00487598091681,30.724537152794277
164,金牛花园,103.99811488449595,30.71575709126217
165,金牛万达a组团,104.0810619000319,30.692654435850304
166,千和馨城,104.02102419025582,30.697426533001124
167,汇融名城,104.05740358713781,30.697356042874134
168,智慧康城,104.05310618340862,30.71537505778964
169,恒大曹家巷广场,104.09733802807553,30.67911645045435
170,碧桂园城市花园,104.10254101358932,30.772605045304726
171,金牛万达a组团,104.0810619000319,30.692654435850304
172,卓越云际,104.05740358713781,30.697356042874134
173,阳光金沙,104.01786853282982,30.696546644803878
174,平福里,104.09495599135472,30.690927015973497
175,锦汇花园,104.03668614682228,30.693921371731303
176,锦熙玉苑,104.0278552646759,30.709181198646924
177,芙蓉华庭,104.09546775600376,30.699526773345493
178,五里墩横街43号院,104.04027945869274,30.694941491730745
179,万科金域西岭,104.02046975609507,30.716481569070016
180,恒大曹家巷广场,104.09733802807553,30.67911645045435
181,马鞍北路51号院,104.09466907257483,30.68406756994149
182,华侨城天鹅堡,104.03539914451814,30.725155238699283
183,华侨城纯水岸二期,104.03396994045177,30.720210284163198
184,中南樾府,104.09775996217357,30.79602282702288
185,星辉西路8号院,104.08251697529694,30.684953862065715
186,汇融名城,104.05740358713781,30.697356042874134
187,锦泰世家,104.08945719383648,30.69637266912682
188,华侨城原岸,104.04996157514039,30.73362472333543
189,绿地世纪城,104.08655387042825,30.726461867199223
190,水岸汇景,104.04138545243663,30.701488555170624
191,泰逸美景,104.01291303048403,30.710869400214538
192,远洋朗郡,103.98645101626275,30.72134421435084
193,金牛状元府邸,104.02906968389483,30.691918908165462
194,华侨城原岸,104.04996157514039,30.73362472333543
195,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
196,华侨城东岸,104.05005993959374,30.733616963050707
197,恒业星园,104.06918719949549,30.712246470578823
198,金牛万达c组团,104.08097835761946,30.69485648214672
199,中南樾府,104.09775996217357,30.79602282702288
200,鑫源公寓,104.09078426056638,30.69368396324701
201,正成拉斐,104.00487598091681,30.724537152794277
202,绿地世纪城,104.08655387042825,30.726461867199223
203,马鞍北路51号院,104.09466907257483,30.68406756994149
204,星辉中路14号院,104.08861054089333,30.68015769296428
205,阳曦芙蓉城,104.02292401657887,30.704715226415807
206,保利两河森林别墅,103.97643185558776,30.724758031265644
207,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
208,西西里一期,104.02574757045784,30.70905863229692
209,千和馨城,104.02102419025582,30.697426533001124
210,檀香花园,104.01521080614799,30.70996914360457
211,金牛万达a组团,104.0810619000319,30.692654435850304
212,金地嘉年华城,104.01480100546249,30.702326957091405
213,恒大曹家巷广场,104.09733802807553,30.67911645045435
214,金牛万达d组团,104.08233560741448,30.693284451104617
215,正成拉斐,104.00487598091681,30.724537152794277
216,香山苑,104.09396839427706,30.69670998446406
217,绿地世纪城,104.08655387042825,30.726461867199223
218,华侨城纯水岸一期,104.03469496282887,30.72329584663474
219,中南樾府,104.09775996217357,30.79602282702288
220,营中巷32号院,104.04430764026058,30.69017385113316
221,华侨城原岸,104.04996157514039,30.73362472333543
222,金牛万达b组团,104.0810619000319,30.692654435850304
223,锋尚阳光,104.05740358713781,30.697356042874134
224,华侨城纯水岸三期,104.03362292503326,30.725361137095557
225,金沙国际花园,104.01587959460018,30.693468990830727
226,龙门镇,104.05740358713781,30.697356042874134
227,明阳家在回廊,104.01584060814105,30.705692149000654
228,华侨城原岸,104.04996157514039,30.73362472333543
229,中环西岸观邸,104.0182137516373,30.713031363081903
230,首开龙湖紫宸,104.03919295817843,30.70579189778465
231,华侨城东岸,104.05005993959374,30.733616963050707
232,蜀汉路31号院,104.0221237422509,30.697586106464268
233,华侨城东岸,104.05005993959374,30.733616963050707
234,华侨城东岸,104.05005993959374,30.733616963050707
235,阳曦芙蓉城,104.02292401657887,30.704715226415807
236,远洋朗郡,103.98645101626275,30.72134421435084
237,恒大曹家巷广场,104.09733802807553,30.67911645045435
238,中环西岸观邸,104.0182137516373,30.713031363081903
239,佳乐云锦阁,104.076646997942,30.729094860200814
240,黄忠二期,104.02355831009946,30.690127966968497
241,恒大曹家巷广场,104.09733802807553,30.67911645045435
242,荣光巷1号院,104.0427283293435,30.681524258022602
243,金地嘉年华城,104.01480100546249,30.702326957091405
244,恒大曹家巷广场,104.09733802807553,30.67911645045435
245,府河苑,104.09560304081354,30.67680067403852
246,蓝光花满庭一期,104.0667532407162,30.729358101181184
247,华侨城天鹅堡,104.03539914451814,30.725155238699283
248,金牛万达d组团,104.08233560741448,30.693284451104617
249,金地嘉年华城,104.01480100546249,30.702326957091405
250,华欣园,104.09219918157514,30.682538454076838
251,龙湖北城天街一期,104.07253707057275,30.71549676223937
252,西城公馆,104.03481300017287,30.702389900881233
253,檀香花园,104.01521080614799,30.70996914360457
254,恒大曹家巷广场,104.09733802807553,30.67911645045435
255,金牛花园,103.99811488449595,30.71575709126217
256,华侨城东岸,104.05005993959374,30.733616963050707
257,华侨城原岸,104.04996157514039,30.73362472333543
258,旭辉江山和鸣,104.05740358713781,30.697356042874134
259,龙湖源著,103.98673991131476,30.71916055239091
260,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
261,华侨城纯水岸二期,104.03396994045177,30.720210284163198
262,百寿路9号院,104.04235023345265,30.6767923351543
263,龙湖北城天街二期,104.07075043074396,30.717113057134025
264,恒大曹家巷广场,104.09733802807553,30.67911645045435
265,营福巷84号院,104.04499963823223,30.69258260259033
266,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
267,中南樾府,104.09775996217357,30.79602282702288
268,恒大曹家巷广场,104.09733802807553,30.67911645045435
269,旭辉江山和鸣,104.05740358713781,30.697356042874134
270,香山苑,104.09396839427706,30.69670998446406
271,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
272,佳乐云锦阁,104.076646997942,30.729094860200814
273,金牛万达d组团,104.08233560741448,30.693284451104617
274,汇景新村一期,104.04489881511671,30.69927827758904
275,恒大曹家巷广场,104.09733802807553,30.67911645045435
276,碧桂园城市花园,104.10254101358932,30.772605045304726
277,益民苑,104.02382600514144,30.69217309052819
278,曹家巷恒大雅苑,104.09413934181559,30.680658976142567
279,凯瑞花都,104.04524205765208,30.69133337004645
280,德意馨苑,104.0158459979741,30.701653206072645
281,华侨城东岸,104.05005993959374,30.733616963050707
282,中南樾府,104.09775996217357,30.79602282702288
283,白鸽岛尚,104.00222166779592,30.713962017411085
284,协和花苑,104.06255402177926,30.7103687412228
285,锦熙玉苑,104.0278552646759,30.709181198646924
286,绿地世纪城,104.08655387042825,30.726461867199223
287,绿地世纪城,104.08655387042825,30.726461867199223
288,同兴小区,104.02656089626656,30.69274798736135
289,府青路一段34号院,104.09988271917841,30.680492801603688
290,金府路6号院,104.03475811370622,30.712093558610505
291,御都花园别墅,104.01847982972934,30.700182128313674
292,青羊小区(成都),104.05143228092133,30.689534964564164
293,华侨城东岸,104.05005993959374,30.733616963050707
294,中南樾府,104.09775996217357,30.79602282702288
295,保利国宾首府,104.00729987867437,30.72286386147507
296,华侨城纯水岸一期,104.03469496282887,30.72329584663474
297,华侨城纯水岸一期,104.03469496282887,30.72329584663474
298,碧桂园城市花园,104.10254101358932,30.772605045304726
299,华侨城原岸,104.04996157514039,30.73362472333543
300,恒大曹家巷广场,104.09733802807553,30.67911645045435
301,天地芳苑,104.05258399841566,30.711400872089243
302,金地嘉年华城,104.01480100546249,30.702326957091405
303,西线阳光,104.0006939196151,30.716045905069038
304,华夏之家,104.02674900144036,30.693759735279915
305,绿地世纪城,104.08655387042825,30.726461867199223
306,欣民苑,104.02463483942263,30.68973441812702
307,恒大曹家巷广场,104.09733802807553,30.67911645045435
308,金地嘉年华城,104.01480100546249,30.702326957091405
309,金沙御苑,104.02063459515614,30.693158991836178
310,中南樾府,104.09775996217357,30.79602282702288
311,居然小区,104.0080917349814,30.70830467889572
312,恒大曹家巷广场,104.09733802807553,30.67911645045435
313,瑞安城中汇,104.09805469621138,30.698848590337068
314,保利两河森林别墅,103.97643185558776,30.724758031265644
315,华侨城纯水岸二期,104.03396994045177,30.720210284163198
316,千和馨城,104.02102419025582,30.697426533001124
317,前锋小区,104.04812759461122,30.698479298412227
318,龙湖上城,104.07880104472437,30.688633885787453
319,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
320,金牛万达a组团,104.0810619000319,30.692654435850304
321,瑞安城中汇,104.09805469621138,30.698848590337068
322,金牛万达c组团,104.08097835761946,30.69485648214672
323,中南樾府,104.09775996217357,30.79602282702288
324,旭辉江山和鸣,104.05740358713781,30.697356042874134
325,新绿苑,104.05740358713781,30.697356042874134
326,人和逸景,104.04684661095399,30.69187263665468
327,华侨城纯水岸三期,104.03362292503326,30.725361137095557
328,保利公园里,104.05740358713781,30.697356042874134
329,百寿路9号院,104.04235023345265,30.6767923351543
330,远洋朗郡,103.98645101626275,30.72134421435084
331,新绿苑,104.05740358713781,30.697356042874134
332,华侨城东岸,104.05005993959374,30.733616963050707
333,凯丽豪景,104.03327330452878,30.69287445643695
334,恒大曹家巷广场,104.09733802807553,30.67911645045435
335,电建地产洺悦府,104.06079397179357,30.72195285222698
336,龙湖北城天街一期,104.07253707057275,30.71549676223937
337,工人村,104.09088298434193,30.681496849267635
338,悦民苑,104.02589102984778,30.69130487718249
339,恒大曹家巷广场,104.09733802807553,30.67911645045435
340,金都花园,104.01938100981697,30.697944105942128
341,平景苑西区,104.05740358713781,30.697356042874134
342,龙湖北城天街一期,104.07253707057275,30.71549676223937
343,佳乐云锦阁,104.076646997942,30.729094860200814
344,金牛万达c组团,104.08097835761946,30.69485648214672
345,泉水人家三期A区,104.06808596677081,30.73773145506147
346,绿地世纪城,104.08655387042825,30.726461867199223
347,保利国宾首府,104.00729987867437,30.72286386147507
348,中环西岸观邸,104.0182137516373,30.713031363081903
349,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
350,现代北苑,104.05521172169347,30.708595688692032
351,马鞍东路社区,104.09926264763065,30.682784508747883
352,外曹家巷23号院,104.09286825209524,30.679344428559666
353,两河锦地,104.00052422970425,30.711763593929913
354,炎华置信花千集,104.07305700980191,30.69215585521525
355,万科金域西岭,104.02046975609507,30.716481569070016
356,华侨城原岸,104.04996157514039,30.73362472333543
357,华侨城纯水岸二期,104.03396994045177,30.720210284163198
358,华侨城原岸,104.04996157514039,30.73362472333543
359,瑞安城中汇,104.09805469621138,30.698848590337068
360,营和街9号院,104.04320892279134,30.687954150312127
361,熙城国际,104.0495895868287,30.689193819591946
362,城市绿舟花园,104.0412067794707,30.712220855900686
363,恒大曹家巷广场,104.09733802807553,30.67911645045435
364,恒大曹家巷广场,104.09733802807553,30.67911645045435
365,佳乐云锦阁,104.076646997942,30.729094860200814
366,恒大曹家巷广场,104.09733802807553,30.67911645045435
367,龙湖北城天街一期,104.07253707057275,30.71549676223937
368,锦熙玉苑,104.0278552646759,30.709181198646924
369,恒大曹家巷广场,104.09733802807553,30.67911645045435
370,城市绿舟花园,104.0412067794707,30.712220855900686
371,金地嘉年华城,104.01480100546249,30.702326957091405
372,恒大曹家巷广场,104.09733802807553,30.67911645045435
373,龙门镇,104.05740358713781,30.697356042874134
374,绿地世纪城,104.08655387042825,30.726461867199223
375,平福里,104.09495599135472,30.690927015973497
376,抚琴西路南一巷1号院,104.04526356218767,30.683087085167628
377,筒车巷29号院,104.0588972895398,30.68583269237135
378,德意馨苑,104.0158459979741,30.701653206072645
379,老会展现代城,104.05298527148697,30.697784960518558
380,华侨城东岸,104.05005993959374,30.733616963050707
381,恒大曹家巷广场,104.09733802807553,30.67911645045435
382,正成拉斐,104.00487598091681,30.724537152794277
383,恒大曹家巷广场,104.09733802807553,30.67911645045435
384,华欣园,104.09219918157514,30.682538454076838
385,龙湖源著,103.98673991131476,30.71916055239091
386,金牛万达b组团,104.0810619000319,30.692654435850304
387,佳乐云锦阁,104.076646997942,30.729094860200814
388,华西园,104.09362964326924,30.68346886195643
389,万科国宾润园,104.01016744952332,30.723094600467807
390,蜀通街10号院,104.03434004232187,30.690665842898376
391,华侨城原岸,104.04996157514039,30.73362472333543
392,华宇锦城名都,104.04796059961691,30.70746416869566
393,恒大曹家巷广场,104.09733802807553,30.67911645045435
394,锦汇花园,104.03668614682228,30.693921371731303
395,青羊小区(成都),104.05143228092133,30.689534964564164
396,佳乐云锦阁,104.076646997942,30.729094860200814
397,尚锦城,104.08931759716025,30.695376242758922
398,锦城花园,104.02935803996354,30.695318871263314
399,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
400,紫金乐章,104.09467904376599,30.699191874508223
401,华侨城东岸,104.05005993959374,30.733616963050707
402,远洋朗郡,103.98645101626275,30.72134421435084
403,金牛万达d组团,104.08233560741448,30.693284451104617
404,怡泽苑,104.04512294234145,30.711624575300384
405,金沙美邻丽雅苑,104.02125972596053,30.694404649115913
406,中房北极星花园,104.08664810267624,30.68538834795846
407,惠民苑,104.02267204188333,30.69041755701243
408,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
409,幸福枫景,104.0204603238872,30.701354256959327
410,白鸽岛尚,104.00222166779592,30.713962017411085
411,西城上域,104.01509115185407,30.730257942150192
412,凯瑞花都,104.04524205765208,30.69133337004645
413,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
414,龙湖北城天街一期,104.07253707057275,30.71549676223937
415,中南樾府,104.09775996217357,30.79602282702288
416,恒大曹家巷广场,104.09733802807553,30.67911645045435
417,中南樾府,104.09775996217357,30.79602282702288
418,平福路92号院,104.09587603585804,30.688863853451295
419,中南樾府,104.09775996217357,30.79602282702288
420,交大智能五期,104.05365441926135,30.714555489155202
421,白鸽岛尚,104.00222166779592,30.713962017411085
422,阳曦芙蓉城,104.02292401657887,30.704715226415807
423,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
424,三和花园,104.02446101730644,30.6936689019956
425,马鞍东路社区,104.09926264763065,30.682784508747883
426,西锦国际一期,104.05314903258144,30.687181707180784
427,恒大曹家巷广场,104.09733802807553,30.67911645045435
428,佳乐云锦阁,104.076646997942,30.729094860200814
429,一环路北三段2号院,104.08393236252628,30.690361731573482
430,首开龙湖紫宸,104.03919295817843,30.70579189778465
431,蓝光花满庭一期,104.0667532407162,30.729358101181184
432,旭辉江山和鸣,104.05740358713781,30.697356042874134
433,水晶花园,104.08370246907847,30.682834045711424
434,曹家巷恒大雅苑,104.09413934181559,30.680658976142567
435,恒大曹家巷广场,104.09733802807553,30.67911645045435
436,金沙美邻一期,104.02284316908298,30.694811609477355
437,远洋朗郡,103.98645101626275,30.72134421435084
438,金牛万达d组团,104.08233560741448,30.693284451104617
439,恒大曹家巷广场,104.09733802807553,30.67911645045435
440,恒大曹家巷广场,104.09733802807553,30.67911645045435
441,华侨城东岸,104.05005993959374,30.733616963050707
442,阳曦芙蓉城,104.02292401657887,30.704715226415807
443,尚锦城,104.08931759716025,30.695376242758922
444,首开龙湖紫宸,104.03919295817843,30.70579189778465
445,飞大壹号广场,104.08840096621785,30.687229533773646
446,金牛万达c组团,104.08097835761946,30.69485648214672
447,华侨城天鹅堡,104.03539914451814,30.725155238699283
448,绿杨新邨,104.02247109094074,30.69615125919485
449,悦民苑,104.02589102984778,30.69130487718249
450,金牛状元府邸,104.02906968389483,30.691918908165462
451,汇融名城,104.05740358713781,30.697356042874134
452,蓝色空间,104.04371296201299,30.715370555963908
453,旭辉江山和鸣,104.05740358713781,30.697356042874134
454,营福庭院,104.04553876796201,30.69210624544578
455,电建地产洺悦府,104.06079397179357,30.72195285222698
456,德商新希望·国宾锦麟天玺,104.03150346301301,30.705772103287163
457,华侨城纯水岸一期,104.03469496282887,30.72329584663474
458,华侨城纯水岸一期,104.03469496282887,30.72329584663474
459,交大智能六期,104.05413600084526,30.709662846396157
460,张家巷社区,104.08867647651776,30.684158179421406
461,瑞安城中汇,104.09805469621138,30.698848590337068
462,中南樾府,104.09775996217357,30.79602282702288
463,东原亲亲里,104.01047170559956,30.727194723049468
464,营康路61号院,104.04497217433787,30.690917389848455
465,绿地世纪城,104.08655387042825,30.726461867199223
466,中南樾府,104.09775996217357,30.79602282702288
467,中南樾府,104.09775996217357,30.79602282702288
468,西西里一期,104.02574757045784,30.70905863229692
469,瑞安城中汇,104.09805469621138,30.698848590337068
470,炎华置信花千集,104.07305700980191,30.69215585521525
471,北站东二路11号院,104.08501507308964,30.69333142065222
472,首开龙湖紫宸,104.03919295817843,30.70579189778465
473,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
474,金牛万达b组团,104.0810619000319,30.692654435850304
475,中环西岸观邸,104.0182137516373,30.713031363081903
476,簸箕巷66号院,104.08959373627401,30.685376856934546
477,蓝光富丽碧蔓汀,104.09516799145507,30.69342862036998
478,西延锦绣,104.02001009316561,30.70362325034725
479,中加水岸,104.05055445677696,30.72565124120615
480,瑞安城中汇,104.09805469621138,30.698848590337068
481,万科金域西岭,104.02046975609507,30.716481569070016
482,恒大曹家巷广场,104.09733802807553,30.67911645045435
483,旭辉江山和鸣,104.05740358713781,30.697356042874134
484,益民苑,104.02382600514144,30.69217309052819
485,首开龙湖紫宸,104.03919295817843,30.70579189778465
486,撷英卉苑,104.05740358713781,30.697356042874134
487,保利梧桐语,103.99766600123262,30.711210079692872
488,旭辉江山和鸣,104.05740358713781,30.697356042874134
489,电建地产洺悦玺,103.9871550182909,30.734744836212062
490,营福巷84号院,104.04499963823223,30.69258260259033
491,西西里一期,104.02574757045784,30.70905863229692
492,飞大壹号广场,104.08840096621785,30.687229533773646
493,青房尚瑞天韵,104.00934028980973,30.706790466640694
494,中南樾府,104.09775996217357,30.79602282702288
495,前锋小区,104.04812759461122,30.698479298412227
496,龙湖上城,104.07880104472437,30.688633885787453
497,佳乐云锦阁,104.076646997942,30.729094860200814
498,绿地世纪城,104.08655387042825,30.726461867199223
499,新村河边街11号院,104.07642403851442,30.686137901359476
500,龙湖源著,103.98673991131476,30.71916055239091
501,瑞安城中汇,104.09805469621138,30.698848590337068
502,幸福枫景,104.0204603238872,30.701354256959327
503,恒大曹家巷广场,104.09733802807553,30.67911645045435
504,中南樾府,104.09775996217357,30.79602282702288
505,卓越云际,104.05740358713781,30.697356042874134
506,保利堂悦,104.02305921155812,30.708358627164447
507,飞大壹号广场,104.08840096621785,30.687229533773646
508,蜀通街10号院,104.03434004232187,30.690665842898376
509,新绿苑,104.05740358713781,30.697356042874134
510,首开龙湖紫宸,104.03919295817843,30.70579189778465
511,锦西民园,104.05448059083889,30.711578158091477
512,华侨城纯水岸二期,104.03396994045177,30.720210284163198
513,天合凯旋港,104.07800604434804,30.68513259470743
514,蓝光花满庭一期,104.0667532407162,30.729358101181184
515,百寿路9号院,104.04235023345265,30.6767923351543
516,成勘苑,104.05740358713781,30.697356042874134
517,华侨城天鹅堡,104.03539914451814,30.725155238699283
518,润泽园二期,104.09723705853621,30.7001499894755
519,龙湖上城,104.07880104472437,30.688633885787453
520,两河锦地,104.00052422970425,30.711763593929913
521,金房水韵天府,104.07385775933352,30.725706964687703
